,游戏名称,代币名称,区块链,代币地址,游戏类型,运行平台,代币价格,24小时涨跌,代币总价值,游戏市值,设立奖学金的公会,公会合作游戏数量,爬取时间
53,Star Atlas,ATLAS,solana,ATLASXmbPQxBUYbxPsV97usA3fPQYEqzQBUHgiFCUsXx,"Space Game, Metaverse",windows,$0.00 ,15%,"$1,217,259 ","$6,834,768 ",Bayz,31,2022/11/12
54,Project SEED,SHILL,solana,0xfb9c339b4bace4fe63ccc1dd9a3c3c531441d5fe,RPG,"android,ios,mobile",$0.02 ,-0.33%,"$651,437 ","$6,758,134 ",,,2022/11/12
55,Darwinia Network,RING,ethereum,0x9469d013805bffb7d3debe5e7839237e535ec483,Other,browser,$0.01 ,6.14%,"$38,952 ","$6,724,517 ",,,2022/11/12
56,Voxies,VOXEL,polygon,0xd0258a3fd00f38aa8090dfee343f10a9d4d30d3f,Strategy,"windows,pc",$0.18 ,1.53%,"$7,577,163 ","$6,524,781 ",,,2022/11/12
57,My Crypto Heroes,MCHC,ethereum,0xd69f306549e9d96f183b1aeca30b8f4353c2ecc3,RPG,browser,$0.23 ,17.48%,"$358,114 ","$6,486,106 ",Blackpool,17,2022/11/12
58,Dvision Network,DVI,ethereum,0x10633216e7e8281e33c86f02bf8e565a635d9770,Metaverse,browser,$0.02 ,14.07%,"$775,155 ","$5,761,069 ",,,2022/11/12
59,Xaya,CHI,"bsc,polygon,ethereum",0x22648c12acd87912ea1710357b1302c6a4154ebc,Other,browser,$0.09 ,0.71%,"$25,683 ","$5,437,664 ",,,2022/11/12
60,Aurory,AURY,solana,AURYydfxJib1ZkTir1Jn1J9ECYUtjb6rKQVmtYaixWPP,"RPG, Metaverse","windows,pc",$0.59 ,2.33%,"$159,165 ","$5,386,538 ",Cosmic Guild,15,2022/11/12
61,GamerCoin,GHX,ethereum,0xbd7b8e4de08d9b01938f7ff2058f110ee1e0e8d4,Other,browser,$0.01 ,3.97%,"$167,866 ","$5,018,332 ",,,2022/11/12
62,Rainicorn,RAINI,ethereum,0xeb953eda0dc65e3246f43dc8fa13f35623bdd5ed,Metaverse,browser,$0.01 ,3.10%,"$155,764 ","$4,996,988 ",,,2022/11/12
63,Dotmoovs,MOOV,ethereum,0x0ebd9537a25f56713e34c45b38f421a1e7191469,Move To Earn,"android,ios",$0.01 ,6.99%,"$257,082 ","$4,974,380 ",Play It Forward DAO,25,2022/11/12
64,Vidya,VIDYA,ethereum,0x3d3d35bb9bec23b06ca00fe472b50e7a4c692c30,Other,browser,$0.11 ,3.65%,"$268,698 ","$4,974,330 ",,,2022/11/12
65,SIDUS,SIDUS,ethereum,0x549020a9cb845220d66d3e9c6d9f9ef61c981102,MMORPG,browser,$0.00 ,3.60%,"$615,772 ","$4,953,828 ",Earn Guild,68,2022/11/12
