,Project,Funding Rounds,Total Funding Amount,Investors,Date,Time of Crawl
109,Kangaroo,Seed Round,"$3,300,000 ","Human Capital, Greylock Partners","Apr 21, 2022",2022/11/12
110,Cardalonia,Pre-Seed Round,"$420,000 ",Hedgespur Capital,"Apr 19, 2022",2022/11/12
111,CryptoBots,Private Round,"$2,000,000 ","Merit Circle Investor, Crypto Gaming United (CGU), Wintermute, Neon, Tuzanye, Mercuryo","Apr 20, 2022",2022/11/12
112,Eternal Dragons,Unknown Round,"$8,200,000 ","Play Ventures, Frabric Ventures","Apr 17, 2022",2022/11/12
113,Paladin Pandas,Unknown Round,"$4,000,000 ","HashKey Capital, y2zVentures","Apr 13, 2022",2022/11/12
114,Blast Royale,Seed Round,"$5,000,000 ","Animoca Brands, Mechanism Capital, Dragonfly Capital, DeFiance Capital, Double Peak, Polygon, C² Ventures, Morningstar Ventures, Dweb3 Capital, Merit Circle Investor, Ancient8, Shima Capital, Avocado Guild","Apr 13, 2022",2022/11/12
115,Civitas,Unknown Round,"$20,000,000 ","Delphi Digital, Three Arrows Capital, Framework Ventures, BITKRAFT Ventures, DeFiance Capital, Dialectic Capital, CMT Digital, Sfermion, SevenX Ventures, Nabais Capital, Infinity Ventures Crypto, Merit Circle Investor, Yield Guild Games, YGG SEA","Apr 12, 2022",2022/11/12
116,Swoops,Seed Round,"$3,500,000 ","Red Beard Ventures, Alpaca VC, Courtside Ventures","Apr 12, 2022",2022/11/12
117,Shrapnel,Unknown Round,"$7,000,000 ","Three Arrows Capital, Dragonfly Capital","Apr 11, 2022",2022/11/12
118,DEFY,Seed Round,"$3,500,000 ","Animoca Brands, Spartan Group, Bixin Ventures, Polygon Studios, Unanimous Capital, PathDAO, Play It Forward DAO, OliveX","Apr 08, 2022",2022/11/12
119,GOALS,Seed Round,"$15,000,000 ","Northzone, Cherry Ventures, Moonfire Ventures","Apr 05, 2022",2022/11/12
120,Polemos,Seed Round,"$14,000,000 ","Framework Ventures, Delphi Digital, QCPCapital, GoldenTree, IOSG Ventures, LD Capital","Apr 04, 2022",2022/11/12
121,One World Nation,Seed Round,"$2,000,000 ","Polygon Studios, IndiGG, Better Capital, Cloud Capital","Apr 04, 2022",2022/11/12
122,Footium,Seed Round,"$3,350,000 ","BACKED Venture Capital, Animoca Brands, YGG SEA, Bayz, Merit Circle Investor, Infinity Ventures Crypto, Stride.VC, Entrée Capital, RLC Ventures, BlackPool","Mar 31, 2022",2022/11/12
123,Crypto Raiders,Seed Round,"$6,000,000 ","DeFiance Capital, Delphi Digital, Merit Circle Investor, Yield Guild Games","Mar 30, 2022",2022/11/12
124,GoodGhosting,Seed Round,"$1,250,000 ","Arca, Big Brain Holdings, Dweb3 Capital, R8 Capital, ZMT Capital","Mar 30, 2022",2022/11/12
125,Cross The Ages,Seed Round,"$12,000,000 ","Animoca Brands, Polygon, Ubisoft","Mar 28, 2022",2022/11/12
126,AFAR,Unknown Round,"$10,000,000 ","LavaX Labs, Dialectic Capital, Merit Circle Investor, Dragonfly Capital, Dapper Labs, Maven 11 Capital, DeFiance Capital, Makers Fund, Yield Guild Games","Mar 24, 2022",2022/11/12
127,SkatetX,Seed Round,"$5,000,000 ","Coinbase Ventures, Solana Capital, Animoca Brands, Play Ventures","Mar 22, 2022",2022/11/12
128,Ultiverse,Seed Round,"$4,500,000 ","Binance Labs, DeFiance Capital, Sky Vision Capital, Three Arrows Capital","Mar 22, 2022",2022/11/12
129,Klay City,Seed Round,"$3,750,000 ","Animoca Brands, A&amp;T Capital, GBV Capital, Kyros Ventures, ROK Capital, Stable Node, HG Ventures (DAS Kapital), Kucoin Labs","Mar 20, 2022",2022/11/12
130,Eizper Chain,Seed Round,"$2,000,000 ","Alameda Research, Huobi Capital, Crypto.com Capital, DeFi Capital, Avocado Guild, AAGVentures, FloemCapital, SeaGamesOrganization, QCPCapital, Petrock Capital, SolanaInsiders, ROK Capital, CMS Holdings, Kernel Ventures, NyanHeroes, Genopets, ArnoldPoernomo, TamarMenteshashvili, IanLam, JackTeoh, NyanQueenWengie, Solar Eco Fund, IvanLam","Mar 16, 2022",2022/11/12
131,Crypto Unicorns,Seed Round,"$26,000,000 ","Delphi Digital, BITKRAFT Ventures, Infinity Ventures Crypto, Polygon Studios, CoinFund, Emfarsis, BACKED Venture Capital, Yield Guild Games, IndiGG, YGG SEA","Mar 15, 2022",2022/11/12
132,Rebel Bots - Xoil Wars,Seed Round,"$2,000,000 ","Animoca Brands, Ubisoft","Mar 15, 2022",2022/11/12
133,Delysium,Seed Round,"$4,000,000 ","Galaxy Interactive, Alameda Research, EurekaMetaCapital, y2zVentures, Tess Ventures, Zonff Partners, Infinity Ventures Crypto, LucidBlue Ventures, Ancient8, UNIX, PathDAO, YGG SEA, AnthosCapital","Mar 15, 2022",2022/11/12
134,Undead Blocks,Seed Round,"$1,700,000 ","Animoca Brands, Genblock Capital, Double Peak","Mar 11, 2022",2022/11/12
135,Versus Systems,Strategic Round,-,Animoca Brands,"Mar 11, 2022",2022/11/12
136,EPIC LEAGUE,Seed Round,"$1,000,000 ","Infinity Ventures Crypto, YGG SEA, TheSandbox, WemadeTree, ThomasVu","Mar 10, 2022",2022/11/12
137,Loco,Series A Round,"$42,000,000 ","Hiro Capital, Makers Fund, Korea Investment Partners, Catamaran, Hashed, Lumikai, Krafton","Mar 10, 2022",2022/11/12
138,MetalCore,Seed Round,"$15,000,000 ","Delphi Digital, Animoca Brands, Youbi Capital, Bitscale Capital, Spartan Group, Yield Guild Games, Merit Circle Investor, BreederDAO, Perion, BITKRAFT Ventures, Avocado DAO, YGG SEA","Mar 09, 2022",2022/11/12
139,Apeiron,Seed Round,"$880,000 ","YGG SEA, Infinity Ventures Crypto, Sky Vision Capital, GuildFi, Enzac Research","Mar 08, 2022",2022/11/12
140,Ascenders,Private Round,"$6,400,000 ","Sino Global Capital, Three Arrows Capital, Merit Circle Investor, DeFiance Capital, GuildFi, Zee Prime Capital, Avocado Guild, Avalaunch","Mar 08, 2022",2022/11/12
141,AlwaysGeeky Games,Strategic Round,"$1,100,000 ",Binance Labs,"Mar 05, 2022",2022/11/12
142,MetaENGINE,Seed Round,"$4,000,000 ","Lemniscap, JumpCrypto","Mar 05, 2022",2022/11/12
