,游戏名称,设立奖学金的公会,公会合作游戏数量,爬取时间
434,Ethlas,Blockchain Space,36,2022/11/12
434,Ethlas,Play It Forward DAO,25,2022/11/12
435,VisionGame,,,2022/11/12
436,Wizardia,MetaGaming Guild,41,2022/11/12
437,CryptoSnake,,,2022/11/12
438,Pirate X Pirate,MetaGaming Guild,41,2022/11/12
439,Nintia Estate,,,2022/11/12
440,Synesis One,Yield Guild Games,41,2022/11/12
441,CrimeCash,,,2022/11/12
442,Galactic Arena: The NFTverse,,,2022/11/12
443,Cryptia,,,2022/11/12
444,Stay In Destiny World,,,2022/11/12
445,Fishy Tank,,,2022/11/12
446,Arenum,Good Games Guild,77,2022/11/12
447,MetagamZ,,,2022/11/12
448,SUPA Foundation,,,2022/11/12
449,Project Quantum,,,2022/11/12
450,Deesse,YGG Sea,40,2022/11/12
451,Cryptoids Game Coin,,,2022/11/12
452,Mimir Quiz,,,2022/11/12
453,GoldMiner,,,2022/11/12
454,Crypto Gangsters,,,2022/11/12
455,Prometheus,Blockchain Space,36,2022/11/12
456,ASPO World,,,2022/11/12
457,MELI,,,2022/11/12
458,Metafish,,,2022/11/12
459,CryptoVsZombie,Good Games Guild,77,2022/11/12
460,Zodiacs,,,2022/11/12
461,Space Falcon,Good Games Guild,77,2022/11/12
462,DragonMaster,IndiGG,28,2022/11/12
463,Hero Arena,Good Games Guild,77,2022/11/12
463,Hero Arena,PathDAO,39,2022/11/12
464,EpicHero,,,2022/11/12
465,The Wasted Lands,MetaGaming Guild,41,2022/11/12
465,The Wasted Lands,Good Games Guild,77,2022/11/12
465,The Wasted Lands,Avocado DAO,33,2022/11/12
465,The Wasted Lands,YGG Sea,40,2022/11/12
466,Devolution,,,2022/11/12
467,Moonsta's Revenge,,,2022/11/12
468,Plant Empires,,,2022/11/12
469,Ancient Kingdom,Good Games Guild,77,2022/11/12
469,Ancient Kingdom,Earn Guild,68,2022/11/12
470,Hydraverse,Earn Guild,68,2022/11/12
470,Hydraverse,PathDAO,39,2022/11/12
471,Equilibrium Games,,,2022/11/12
472,ETHEKing,,,2022/11/12
473,GUZZLER,,,2022/11/12
474,Hanzo,,,2022/11/12
475,Legends Of Mitra,Good Games Guild,77,2022/11/12
476,Space Crypto,Bayz,31,2022/11/12
477,Solice,,,2022/11/12
478,Ertha,,,2022/11/12
479,Rainmaker Games,,,2022/11/12
480,Lucky Lion,,,2022/11/12
481,VOID,,,2022/11/12
482,Metabolic,,,2022/11/12
483,YooShi,,,2022/11/12
484,StarMon Metaverse,Bayz,31,2022/11/12
485,Bunicorn,,,2022/11/12
486,Geopoly,PathDAO,39,2022/11/12
487,Metania Games,,,2022/11/12
488,Militia Games,,,2022/11/12
489,Continuum World,,,2022/11/12
490,RXC Games,,,2022/11/12
491,Purpose,,,2022/11/12
492,BinaHero,,,2022/11/12
